"А","Б","В","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"добыча природного газа и газового конденсата","B 06.2","1060","239,021","62,659","307,683","276,189","9,853","1,494","24,416","177","125,918","125,885","0","115,999","115,981","3","31,453","31,050","403","41","0","0","0","54,085","39,657","4,113","10,315","Х"
"добыча металлических руд (1065=стр.1075+1080)","B 07","1065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"из строки  1065: добыча и обогащение железных руд","В 07.1","1075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"добыча руд цветных металлов","В 07.2","1080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"добыча прочих полезных ископаемых","B 08","1081","243,222","29,198","223,771","211,452","43,061","6,973","22,461","0","94,938","94,938","0","50,938","50,779","54","5,477","2,132","3,345","2,036","4,806","0","0","31,281","22,770","2,092","6,419","Х"
"предоставление услуг в области добычи полезных ископаемых","B 09","1084","37,588","123","36,615","33,573","14,288","3","19,277","0","0","0","0","8","0","0","2,846","2,563","284","196","0","0","0","82","60","7","15","Х"
"Обрабатывающие производства – всего","С 10-33","1087","10,849,929","661,000","10,480,802","10,161,165","1,144,980","125,432","701,299","4,885","2,484,103","2,471,487","5,828,118","1,825","439","840","102,764","92,158","10,605","20,169","196,704","2,075","536","929,239","683,047","69,676","176,516","Х"
"в том числе: производство пищевых продуктов","С 10","1090","1,102,436","269,957","1,040,318","936,511","434,363","45,223","282,651","1,488","218,126","217,246","0","1,244","0","127","58,112","53,776","4,336","10,080","35,615","1,041","100","393,707","290,216","34,160","69,331","Х"
"из строки 1090: переработка и консервирование мяса и мясной  пищевой продукции","С 10.1","1095","16,282","2,726","15,103","11,923","4,248","598","3,151","0","4,522","4,522","0","0","0","2","327","179","148","65","2,788","113","0","3,828","2,905","256","667","Х"
"производство молочной продукции","С 10.5","1100","508,750","185,456","448,114","418,873","163,904","24,680","146,667","499","107,494","106,614","0","779","0","29","20,328","16,823","3,505","605","8,308","195","0","294,094","216,828","26,693","50,573","Х"
"производство сахара","С 10.81","1105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"производство напитков","С 11","1110","7,035,651","36,040","6,776,079","6,764,987","62,467","10,229","37,957","0","835,950","835,944","5,828,117","260","204","236","7,443","5,735","1,708","1,947","1,702","0","0","74,274","53,520","5,863","14,891","Х"
"производство табачных изделий","С 12","1115","2","0","37","37","5","0","0","0","31","31","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"производство текстильных изделий","С 13","1120","136,680","6,219","130,237","127,510","69,704","2,506","34,414","49","23,382","23,382","0","0","0","10","1,829","1,800","29","177","721","64","1","10,621","7,900","885","1,836","Х"
"производство одежды","C 14","1125","6,250","6,106","7,687","3,393","20","0","3,357","0","5","5","0","0","0","11","146","146","0","6","4,142","96","73","7,830","6,009","382","1,439","Х"
"производство кожи и изделий из кожи (стр. 1129> или=стр.1130+1132)","С 15","1129","652","679","778","473","29","0","444","0","0","0","0","0","0","0","0","0","0","0","305","22","2","729","567","37","125","Х"
"из строки 1129: выделка и крашение меха","С 15.1","1130","1","45","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","49","39","0","10","Х"
"производство обуви","С 15.2","1132","652","635","777","473","29","0","444","0","0","0","0","0","0","0","0","0","0","0","304","22","2","680","528","37","115","Х"
"обработка древесины и производство  изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения","С 16","1133","178,517","61,240","186,989","102,178","27,245","807","36,603","3","38,211","38,211","0","0","0","119","1,737","1,442","295","1,179","81,895","340","52","68,389","52,292","4,935","11,162","Х"
"производство бумаги и бумажных изделий","С 17","1136","1,067,132","64,262","1,061,288","1,052,669","338,022","43,718","62,179","352","652,326","652,104","0","0","0","142","3,805","3,298","506","818","3,996","19","0","67,262","48,345","4,179","14,738","Х"
"деятельность полиграфическая и копирование носителей информации","С 18","1140","23,309","5,366","24,994","21,138","7,237","1,086","4,157","0","9,728","9,728","0","0","0","16","45","1","43","4","3,807","5","55","8,746","6,457","684","1,605","Х"
"производство кокса и нефтепродуктов","С 19","1143","739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"из строки 1143: производство кокса","С 19.1","1145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"производство нефтепродуктов","С 19.2","1150","739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"производство химических веществ и химических продуктов","С 20","1155","8,665","14,061","7,662","916","13,683","2,047","9,413","126","-22,212","-22,269","0","0","0","32","3,205","2,602","603","577","2,964","0","0","14,362","11,019","1,217","2,126","Х"
"производство лекарственных средств и материалов, применяемых в медицинских целях","С 21","1162","759","0","1,079","1,079","615","0","464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"производство резиновых и пластмассовых изделий","С 22","1165","115,201","11,400","117,164","110,041","47,958","1,037","19,686","95","42,379","42,379","0","15","0","3","2,452","1,851","601","581","4,090","114","3","12,205","9,060","877","2,268","Х"
"производство прочей неметаллической минеральной продукции","С 23","1168","367,011","51,585","344,581","313,832","51,544","7,742","50,802","57","211,173","210,912","0","296","235","17","14,509","13,532","977","2,034","14,206","57","13","68,398","49,103","3,124","16,171","Х"
"производство металлургическое и производство готовых металлических изделий, кроме машин и оборудования  (стр.1177>или=стр.1178+1202)","С 24-25","1177","411,688","56,970","388,971","365,948","23,176","1,961","56,678","144","286,076","281,826","0","9","0","9","6,579","5,670","909","892","15,552","92","48","76,086","56,457","4,968","14,661","Х"
"из строки 1177: производство металлургическое (стр. 1178> или = стр. 1179+1182+1185+1190+1200)","С 24","1178","124,786","14,594","130,977","130,574","15,274","2,289","6,893","19","108,407","108,407","0","0","0","0","122","28","94","0","281","0","0","12,460","9,255","976","2,229","Х"
"из строки 1178: производство чугуна, стали и ферросплавов (стр.1179>или = стр.1180+1181)","С 24.1","1179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"из строки 1179: производство листового горячекатаного стального проката","С 24.10.3","1180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"производство листового холоднокатаного  стального проката","С 24.10.4","1181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"производство стальных труб, полых профилей и фитингов","С 24.2","1182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"производство прочих стальных изделий первичной обработки","С 24.3","1185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"производство основных драгоценных металлов и прочих цветных металлов (стр.1190>или=стр.1195)","С 24.4","1190","124,540","14,447","130,677","130,555","15,274","2,289","6,874","19","108,407","108,407","0","0","0","0","122","28","94","0","0","0","0","12,306","9,130","972","2,204","Х"
"из строки 1190: производство драгоценных металлов","С 24.41","1195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"литье металлов (стр.1200>или=стр.1201)","С 24.5","1200","246","147","300","19","0","0","19","0","0","0","0","0","0","0","0","0","0","0","281","0","0","153","125","4","24","Х"
"из строки 1200: литье чугуна","С 24.51","1201","246","147","300","19","0","0","19","0","0","0","0","0","0","0","0","0","0","0","281","0","0","153","125","4","24","Х"
"производство компьютеров, электронных и оптических изделий","С 26","1211","3,836","2,097","5,660","2,261","61","0","2,191","0","0","0","0","0","0","9","0","0","0","29","3,370","0","0","3,841","2,798","158","885","Х"
"производство электрического оборудования","С 27","1220","18,150","4,353","17,711","17,284","836","123","6,167","0","10,281","10,281","0","0","0","0","69","0","69","8","350","0","0","9,539","6,621","610","2,308","Х"
